ParameterName Median UpperErr LowerErr
hsig1 7.519341959565632 0.24557479766272827 0.25990416491956214
hfreq1 2.589797985762615 0.4857220437580456 0.4768787474919485
hsig2 7.213096254827429 0.03614443740477391 0.0357583689183576
hfreq2 27.03893036784777 0.7502151253066067 0.733652568346745
numax 102.55365794167838 0.3723400011150204 0.3634290379508087
denv 25.991250013624864 0.9055580372944583 0.9296888901788165
Henv 6.3200488358831395 0.028963137828915464 0.030903814232944526
alpha 5.970762785072817 0.04436262780355715 0.04241089472080528
beta 90.47484403258977 1.9234824304181757 1.8717829431004844
white 72.08195490867502 0.8603558319880733 0.8858083062628452
a1 73.25130404759253 5.595710647307953 5.878213878516874
a2 201.90646332684713 3.3553342371615145 3.4457667558000082
a3 198.3885160415374 3.682869653551336 3.229699489636573
